iter	RMSE
0	1594.385368
1	1549.405042
2	1508.405941
3	1463.41539
4	1419.239336
5	1377.282074
6	1342.648541
7	1308.500447
8	1274.534673
9	1236.126996
10	1204.211942
11	1172.782267
12	1141.796338
13	1113.971136
14	1089.464516
15	1064.981025
16	1038.902717
17	1016.562904
18	996.2159371
19	974.2771795
20	951.7331814
21	932.5805938
22	913.1850264
23	895.9537978
24	877.3367987
25	859.7712233
26	842.2535563
27	827.6195574
28	811.94564
29	797.9160087
30	782.2403169
31	766.9250775
32	753.3103538
33	740.0027071
34	726.200784
35	711.7074106
36	698.7062826
37	688.2053125
38	677.4783029
39	668.042554
40	659.8611016
41	649.8385023
42	640.7257477
43	630.6457881
44	620.6276181
45	611.8388435
46	603.3327871
47	596.802659
48	589.4566811
49	583.1233058
50	576.4341887
51	570.269675
52	563.2470767
53	557.5880609
54	553.2227104
55	547.130965
56	541.454643
57	537.1335649
58	531.6541453
59	526.9589576
60	522.325693
61	516.8665538
62	510.830136
63	506.0555561
64	501.6042376
65	496.6199259
66	491.7832818
67	488.1238035
68	483.778737
69	480.0290021
70	476.5999359
71	473.5714715
72	470.5530259
73	468.2514839
74	465.7573438
75	463.4884636
76	460.7847412
77	457.4093938
78	454.2255054
79	451.504859
80	447.9111403
81	444.9194746
82	442.7005891
83	440.4305744
84	437.7445552
85	435.1413797
86	433.0733008
87	430.1504947
88	428.2482939
89	426.4963535
90	424.0043325
91	421.8779575
92	420.3496566
93	418.3489788
94	416.0629249
95	413.4776623
96	411.5612508
97	409.8601131
98	407.6380302
99	405.8801063
100	404.4539333
101	402.5404422
102	401.2618546
103	399.8184309
104	398.1805409
105	396.4974777
106	395.2187133
107	393.8461724
108	393.3122159
109	391.6458885
110	390.3041471
111	388.7792479
112	387.5993806
113	386.4923194
114	385.0050593
115	383.7907857
116	382.8655882
117	381.8037522
118	380.9753548
119	380.1015721
120	378.1740328
121	377.2286096
122	375.9390679
123	374.2564235
124	372.4161949
125	371.1163785
126	369.9631885
127	369.3774509
128	368.132361
129	367.136952
130	365.7136755
131	365.3518409
132	364.139669
133	363.0685979
134	362.5656127
135	361.1198548
136	360.7674448
137	359.6233356
138	358.5965543
139	357.0864054
140	356.8351578
141	355.7656834
142	355.5368012
143	354.9049733
144	353.9486672
145	353.0069208
146	351.8880493
147	350.8463922
148	350.1824392
149	349.4035252
150	348.1207058
151	347.6161935
152	347.137983
153	346.1988558
154	346.0278419
155	345.7314634
156	345.3059997
157	343.7775846
158	342.969257
159	342.7614968
160	341.8758161
161	340.8928586
162	340.5314066
163	339.8888684
164	339.5460668
165	338.6175724
166	338.2006881
167	337.5133786
168	336.8606041
169	336.5497054
170	336.3259243
171	334.9253834
172	334.674296
173	333.8065309
174	333.6497676
175	333.0765642
176	332.2268919
177	331.9157199
178	330.7723386
179	329.4277832
180	328.1257587
181	328.0051584
182	327.804819
183	327.5781207
184	327.4708079
185	327.0696977
186	326.2838489
187	326.1077691
188	325.8943683
189	324.9926253
190	324.7968331
191	324.695021
192	324.2480265
193	323.6857689
194	322.6510138
195	322.3059248
196	322.1176153
197	321.2393147
198	320.224445
199	320.1366722
200	319.5096161
201	319.3106878
202	318.5227668
203	317.4407892
204	316.0734466
205	315.6250604
206	315.4879666
207	315.2533952
208	313.9179877
209	313.5342038
210	312.7093467
211	312.0717669
212	310.7958628
213	309.7532306
214	309.1644844
215	308.5961018
216	308.1722307
217	308.0241563
218	307.011156
219	306.1807909
220	306.0372209
221	305.4063633
222	305.2672206
223	304.5921039
224	303.4381529
225	302.8040495
226	302.6696869
227	302.2908581
228	302.1598791
229	301.8075056
230	301.6795772
231	301.5519061
232	300.9186117
233	300.3190732
234	299.8570001
235	298.8596742
236	298.7362746
237	298.3288799
238	297.4179862
239	296.8331143
240	296.0615533
241	295.4594997
242	294.8440627
243	294.7276532
244	294.6110743
245	294.1704483
246	293.5842907
247	292.6244518
248	291.9737078
249	291.3786324
250	290.7739345
251	290.6758786
252	290.0521916
253	289.4864417
254	289.4165198
255	289.0042249
256	288.5858009
257	287.9678476
258	287.4178492
259	287.0132756
260	286.4925748
261	286.106822
262	285.5956675
263	285.0798472
264	284.5210899
265	284.453329
266	283.8477318
267	283.7320362
268	283.4694884
269	282.9410071
270	282.4725997
271	281.9495858
272	281.4538306
273	280.7154428
274	280.6031385
275	280.3522986
276	279.6695155
277	279.0892312
278	279.0257852
279	278.9190002
280	278.5116417
281	278.4314215
282	278.0321798
283	277.7733605
284	277.3421067
285	277.290731
286	276.6885558
287	276.2784574
288	275.9707841
289	275.5347434
290	275.0190104
291	274.3522975
292	273.9347504
293	273.6260604
294	273.3960453
295	273.0509454
296	272.3503737
297	271.5785016
298	271.0475182
299	270.8326285
300	270.6145971
301	270.4087199
302	270.0563444
303	269.9986794
304	269.7325747
305	268.937691
306	268.5518912
307	268.0156254
308	267.6066909
309	267.5267768
310	266.9231321
311	266.8405663
312	266.3672757
313	266.0285536
314	265.9751108
315	265.9230763
316	265.8440299
317	265.6235218
318	265.5468889
319	264.9974966
320	264.3754462
321	263.7985519
322	263.0445667
323	262.5961777
324	262.331865
325	261.5051415
326	260.8615968
327	260.6178803
328	260.2862811
329	259.7199206
330	259.5389702
331	258.9346843
332	258.698605
333	258.0113828
334	257.5686861
335	257.3355758
336	256.9340449
337	256.5952099
338	256.361723
339	255.9806652
340	255.9344996
341	255.3323842
342	255.0364058
343	254.9654117
344	254.3834528
345	254.3170772
346	254.0558729
347	253.661034
348	253.506024
349	253.1724699
350	253.1085594
351	253.0667674
352	252.5256846
353	252.4638471
354	251.8799485
355	251.5254814
356	251.3107928
357	250.9479922
358	250.9080285
359	250.5501966
360	250.4053743
361	250.3394868
362	250.3013952
363	249.735315
364	249.4685452
365	249.4315017
366	249.1087513
367	248.9318265
368	248.3793976
369	248.3433775
370	247.9157956
371	247.8594987
372	247.8253935
373	247.317201
374	246.9996894
375	246.7930651
376	246.5828753
377	246.3323374
378	246.1114309
379	246.0613857
380	245.6760863
381	245.3661312
382	244.9375873
383	244.8881337
384	244.8582472
385	244.6602544
386	244.4370935
387	244.3897106
388	244.1524277
389	243.9120119
390	243.5373534
391	242.9801527
392	242.9537841
393	242.4364877
394	242.3906235
395	242.3640249
396	242.1193806
397	242.0754746
398	241.5737647
399	241.1285506
400	240.7521392
401	240.7154377
402	240.6889085
403	240.1638802
404	239.5923996
405	239.2764026
406	238.786754
407	238.4580121
408	238.4315121
409	238.3000972
410	237.9288264
411	237.4470449
412	237.1503691
413	236.6664595
414	236.6408183
415	236.2612717
416	236.2125743
417	235.7547783
418	235.380878
419	235.1399757
420	235.1002028
421	234.8870575
422	234.8653399
423	234.4998596
424	234.3336599
425	234.207575
426	234.0872668
427	233.7362385
428	233.6909754
429	233.6682473
430	233.5600219
431	233.5391231
432	233.3900544
433	233.3703899
434	233.2670074
435	233.218792
436	233.0061703
437	232.9874585
438	232.8349545
439	232.8160558
440	232.7976375
441	232.6968367
442	232.4431167
443	232.3290028
444	232.0498083
445	231.8987119
446	231.4083295
447	231.1558989
448	230.7728604
449	230.5526415
450	230.3475637
451	230.1976436
452	229.7755135
453	229.3970274
454	229.0481763
455	228.8593341
456	228.633205
457	228.408765
458	227.8602943
459	227.7767267
460	227.3311484
461	227.0387418
462	226.60565
463	226.2611498
464	225.7438299
465	225.4770602
466	225.0294311
467	224.6886011
468	224.3602832
469	224.1769721
470	223.9321439
471	223.6884229
472	223.3428104
473	223.1437514
474	222.6369953
475	222.338513
476	221.8769369
477	221.5783461
478	221.3646741
479	221.1873073
480	221.1701682
481	221.0552519
482	220.5834062
483	220.1763802
484	219.8968316
485	219.8804713
486	219.6399443
487	219.623667
488	219.6078023
489	219.2632841
490	218.902211
491	218.6614191
492	218.3816013
493	218.2916821
494	218.2751222
495	218.0220555
496	217.7015531
497	217.3385999
498	216.9182942
499	216.8904543
500	216.5883399
501	216.3498496
502	216.3235094
503	216.2751296
504	215.8867534
505	215.6995789
506	215.4274559
507	215.2478559
508	214.9919575
509	214.5023352
510	214.330086
511	214.1836856
512	213.7993769
513	213.6331602
514	213.2892942
515	213.2172423
516	213.0580434
517	212.7889222
518	212.5717875
519	212.3579602
520	212.1545506
521	211.7544496
522	211.7397367
523	211.5458903
524	211.4301469
525	211.2557384
526	210.842734
527	210.6195191
528	210.4366278
529	210.1465422
530	209.782559
531	209.7614108
532	209.6346179
533	209.1680401
534	208.8900693
535	208.6487685
536	208.3351988
537	208.3106437
538	208.1233455
539	207.9309176
540	207.8133813
541	207.4861348
542	207.3073872
543	207.0889853
544	207.0647306
545	206.7800817
546	206.1769956
547	205.8716317
548	205.6918091
549	205.6679248
550	205.6428304
551	205.3983532
552	205.3867645
553	205.1156301
554	204.6838935
555	204.2874493
556	204.0988812
557	203.8159105
558	203.5694994
559	203.5131864
560	203.334205
561	203.2802425
562	202.8879136
563	202.5417354
564	202.395796
565	202.125952
566	201.904924
567	201.6081561
568	201.5642308
569	201.4616141
570	201.1745552
571	201.1587118
572	201.0759264
573	200.8416143
574	200.6612861
575	200.5287473
576	200.2732665
577	200.0258285
578	199.8824745
579	199.7204303
580	199.3753707
581	199.1806215
582	199.1588769
583	198.9442931
584	198.6631127
585	198.4762234
586	198.3467899
587	197.9600967
588	197.7674222
589	197.4832339
590	197.1693073
591	197.0616803
592	196.774876
593	196.7538134
594	196.6022811
595	196.2262531
596	195.8713678
597	195.8513212
598	195.6742506
599	195.4378261
600	195.2154046
601	194.9052445
602	194.5331864
603	194.4421287
604	194.1756923
605	194.1563187
606	193.8746582
607	193.7046913
608	193.6858515
609	193.4635121
610	193.2650174
611	193.1243853
612	192.9418137
613	192.8543555
614	192.6959583
615	192.5072392
616	192.3907585
617	192.1371704
618	191.8638629
619	191.735283
620	191.5326742
621	191.2239101
622	191.0187369
623	190.8837186
624	190.5403921
625	190.2743298
626	190.0056043
627	189.9796432
628	189.7621552
629	189.3935632
630	189.0567456
631	188.9219612
632	188.8103042
633	188.8022099
634	188.4916788
635	188.3042544
636	188.2954912
637	187.9906969
638	187.9736509
639	187.5532417
640	187.2937735
641	186.9804583
642	186.8433397
643	186.7079993
644	186.3786671
645	186.1955016
646	186.0035163
647	185.8584218
648	185.6231813
649	185.4052912
650	185.3902406
651	185.3741944
652	185.2243057
653	185.0793516
654	184.9272046
655	184.9116377
656	184.8965459
657	184.7825316
658	184.6902406
659	184.445362
660	184.2935015
661	184.2864636
662	184.1237403
663	184.1162797
664	183.9699882
665	183.7572439
666	183.6237016
667	183.4695494
668	183.3124521
669	183.041143
670	182.8066578
671	182.597883
672	182.4690352
673	182.1024755
674	181.9048921
675	181.6814771
676	181.5037266
677	181.306743
678	181.0277134
679	180.9026341
680	180.6116924
681	180.3874253
682	180.2171383
683	180.0123312
684	179.7496319
685	179.5887563
686	179.5813501
687	179.3488843
688	179.2255519
689	179.1254514
690	178.921015
691	178.7589322
692	178.6169812
693	178.5962918
694	178.3710668
695	178.3640445
696	178.246725
697	177.8858307
