Shape_CUSHION,Shape_EMERALD,Shape_HEART,Shape_MARQUISE,Shape_OVAL,Shape_PEAR,Shape_PRINCESS,Shape_ROUND,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52978516,6.0,13.0,3.0,3.0,2.0,0.0,1424.37,5.1914062,4.2890625,2.9003906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,17.0,3.0,3.0,2.0,1.0,1429.01,5.0117188,4.28125,2.7890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,8.0,13.0,3.0,3.0,2.0,0.0,1430.13,4.5703125,4.46875,3.0292969
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,16.0,2.0,3.0,3.0,4.0,1436.5,4.7617188,4.1992188,2.9394531
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.0,10.0,3.0,3.0,2.0,2.0,1437.68,5.6992188,4.78125,3.2304688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,14.0,2.0,3.0,2.0,0.0,1439.96,4.9609375,4.2109375,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399414,4.0,9.0,2.0,3.0,2.0,2.0,1441.31,5.8710938,5.1796875,3.609375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,4.0,13.0,3.0,3.0,2.0,0.0,1444.75,5.28125,4.8085938,3.2597656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498047,5.0,14.0,3.0,3.0,2.0,0.0,1445.15,5.3398438,4.2695312,2.859375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,3.0,3.0,2.0,2.0,1447.35,4.4882812,4.4609375,3.0097656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800781,4.0,19.0,3.0,2.0,2.0,0.0,1447.51,5.9492188,5.5703125,3.7597656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,2.0,3.0,1.0,0.0,1450.02,4.7695312,4.3203125,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,13.0,3.0,3.0,2.0,0.0,1450.05,4.6914062,4.3398438,2.9199219
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72021484,2.0,19.0,3.0,2.0,1.0,1.0,1054.14,5.5507812,4.671875,3.1699219
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4399414,4.0,18.0,3.0,2.0,1.0,1.0,1059.29,4.9492188,4.0,2.6796875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39990234,5.0,13.0,3.0,3.0,2.0,0.0,1065.38,4.78125,3.890625,2.640625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498047,5.0,6.0,3.0,3.0,3.0,0.0,1067.66,4.6289062,4.5703125,3.0996094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4099121,4.0,16.0,3.0,3.0,2.0,0.0,1071.87,4.6601562,3.9804688,2.640625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3100586,8.0,17.0,3.0,3.0,2.0,0.0,1072.54,3.9492188,3.7792969,2.5292969
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498047,8.0,11.0,3.0,3.0,2.0,0.0,1075.21,4.7382812,4.4804688,3.0390625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,5.0,8.0,3.0,3.0,2.0,1.0,1078.14,5.2304688,4.75,3.2207031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39990234,6.0,13.0,3.0,3.0,2.0,0.0,1078.32,4.25,4.0585938,2.7402344
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098633,8.0,0.0,3.0,3.0,2.0,0.0,1087.25,4.6601562,4.6015625,3.109375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,4.0,11.0,3.0,3.0,2.0,0.0,1087.54,5.5898438,4.8515625,3.2695312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,4.0,11.0,3.0,2.0,2.0,2.0,1094.65,4.6992188,4.4101562,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58984375,3.0,16.0,3.0,3.0,2.0,0.0,1094.8,4.96875,4.53125,3.0605469
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,19.0,3.0,3.0,1.0,0.0,1103.97,4.3085938,4.2890625,2.9101562
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195312,4.0,19.0,3.0,3.0,3.0,2.0,1105.68,6.5117188,5.28125,3.5800781
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,6.0,12.0,3.0,3.0,2.0,0.0,1199.41,4.9804688,4.25,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,7.0,10.0,2.0,3.0,1.0,4.0,1205.7,5.2890625,4.9414062,3.4492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,8.0,19.0,3.0,3.0,2.0,1.0,1207.12,4.46875,4.328125,2.9394531
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,4.0,13.0,3.0,3.0,2.0,2.0,1211.61,4.7695312,4.4296875,2.9902344
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64990234,7.0,4.0,3.0,3.0,3.0,1.0,1212.41,5.0,4.640625,3.1503906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52978516,7.0,12.0,3.0,3.0,2.0,0.0,1213.74,4.5898438,4.4492188,3.0097656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698242,4.0,19.0,3.0,3.0,1.0,1.0,1214.05,4.828125,4.5585938,3.0800781
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,13.0,3.0,3.0,2.0,1.0,1214.62,4.4414062,4.4296875,3.0097656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,12.0,3.0,3.0,2.0,1.0,1215.54,4.5507812,4.3984375,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4699707,4.0,16.0,3.0,3.0,1.0,0.0,1217.29,4.9296875,4.1601562,2.7890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,17.0,3.0,2.0,1.0,0.0,1226.85,5.1289062,4.1289062,2.8007812
